model,seed,scenario,TE_L_med,B1_L_med,improvement_pct
TE1_OSPF,0,S1_Nominal,369.8948091055969,383.5819168286238,3.568235915860964
TE1_OSPF,0,S2_FlashCrowd,469.541682586598,490.4600157046706,4.265043520014174
TE1_OSPF,0,S3_PoP_Failure,396.7649475293739,414.6483450971039,4.312907016074539
TE1_OSPF,0,S4_BGP_Anomaly,381.465186648971,396.45589467229127,3.78117924963924
TE1_OSPF,0,S5_WACREN_OOD,736.1625792742436,770.2779459192627,4.428968377681544
TE1_OSPF,1,S1_Nominal,375.174806289,388.972760108806,3.547280230097956
TE1_OSPF,1,S2_FlashCrowd,447.2838293065943,467.0890150334966,4.24013091497817
TE1_OSPF,1,S3_PoP_Failure,399.644870173929,415.4729224223305,3.809647126007454
TE1_OSPF,1,S4_BGP_Anomaly,386.838732541385,401.21585842594106,3.583389236148519
TE1_OSPF,1,S5_WACREN_OOD,753.3669111179848,786.3565361505971,4.195250311532265
TE1_OSPF,2,S1_Nominal,361.1631885664658,373.04274601291206,3.1845030022471126
TE1_OSPF,2,S2_FlashCrowd,406.0626977567864,422.8162904907683,3.962381088613181
TE1_OSPF,2,S3_PoP_Failure,385.4446962031524,401.26736782124254,3.9431742740513176
TE1_OSPF,2,S4_BGP_Anomaly,366.5659925216106,380.03927037317726,3.545233059293227
TE1_OSPF,2,S5_WACREN_OOD,716.2018100939628,748.458777065698,4.309785382996954
TE1_OSPF,3,S1_Nominal,391.891292747664,406.7818633562169,3.66057878925474
TE1_OSPF,3,S2_FlashCrowd,426.7106391994661,441.3355707904563,3.313789451594875
TE1_OSPF,3,S3_PoP_Failure,419.0011780503749,437.2939788237959,4.183181488714709
TE1_OSPF,3,S4_BGP_Anomaly,410.1212707604396,424.9549946234314,3.4906576109633733
TE1_OSPF,3,S5_WACREN_OOD,791.1305465062342,827.9421597822505,4.446157601842363
TE1_OSPF,4,S1_Nominal,385.4436658984624,399.8197580947427,3.595643263050969
TE1_OSPF,4,S2_FlashCrowd,424.43362210948266,440.66090538990943,3.682487618471261
TE1_OSPF,4,S3_PoP_Failure,414.4541408145666,432.5452272303818,4.182472785945119
TE1_OSPF,4,S4_BGP_Anomaly,391.4343480973565,405.2708069071585,3.4141266960222216
TE1_OSPF,4,S5_WACREN_OOD,776.1384182453899,811.6918188265332,4.380160025826439
TE1_OSPF,5,S1_Nominal,403.764070143243,419.841393947149,3.829380341169957
TE1_OSPF,5,S2_FlashCrowd,454.2650484732309,473.753578549697,4.11364282168093
TE1_OSPF,5,S3_PoP_Failure,431.49193276668393,451.17283234492646,4.362164156904791
TE1_OSPF,5,S4_BGP_Anomaly,403.7874907298739,419.9991294139468,3.8599219733369696
TE1_OSPF,5,S5_WACREN_OOD,822.2847557595253,863.0828220031351,4.727016365465516
TE1_OSPF,6,S1_Nominal,386.2122408801375,401.0492316471193,3.699543496454525
TE1_OSPF,6,S2_FlashCrowd,457.33290384263387,476.32762028096937,3.987741972034115
TE1_OSPF,6,S3_PoP_Failure,401.7485707062496,420.81573572489714,4.531000958365407
TE1_OSPF,6,S4_BGP_Anomaly,395.8760778458087,410.5334452724137,3.570322368468408
TE1_OSPF,6,S5_WACREN_OOD,781.6796577429768,819.8228930699654,4.652618955803344
TE1_OSPF,7,S1_Nominal,357.861428064488,368.0618649218292,2.771391939642428
TE1_OSPF,7,S2_FlashCrowd,414.810200121484,431.6642419179498,3.904433158878473
TE1_OSPF,7,S3_PoP_Failure,380.5545635088805,393.9610918271068,3.403008214859409
TE1_OSPF,7,S4_BGP_Anomaly,364.5351029848605,376.3995886101059,3.152098457136009
TE1_OSPF,7,S5_WACREN_OOD,704.5304266447731,731.9219214551092,3.742406670356312
TE1_OSPF,8,S1_Nominal,371.19866536356,385.6960456007213,3.7587578100733903
TE1_OSPF,8,S2_FlashCrowd,429.524369252321,444.9804376972789,3.473426500486468
TE1_OSPF,8,S3_PoP_Failure,395.61772347156943,412.68681707991584,4.136088894024695
TE1_OSPF,8,S4_BGP_Anomaly,382.13981562989215,397.9654155409655,3.976626936177656
TE1_OSPF,8,S5_WACREN_OOD,741.3524861291464,775.3118047984692,4.3800853358798015
TE1_OSPF,9,S1_Nominal,378.3802480697393,392.6884553025775,3.6436536495103504
TE1_OSPF,9,S2_FlashCrowd,402.8992244130377,418.4855177487062,3.724452262892354
TE1_OSPF,9,S3_PoP_Failure,405.4136083918742,422.4161218047002,4.025062618392893
TE1_OSPF,9,S4_BGP_Anomaly,383.8270561388502,399.2180887924311,3.855294408160773
TE1_OSPF,9,S5_WACREN_OOD,762.6598106880665,798.6830119931625,4.51032521841148
TE2_MATE,0,S1_Nominal,371.4413488816796,383.5819168286238,3.1650522129197114
TE2_MATE,0,S2_FlashCrowd,467.56895513335024,490.4600157046706,4.667263352432819
TE2_MATE,0,S3_PoP_Failure,409.888697059457,414.6483450971039,1.1478758070364958
TE2_MATE,0,S4_BGP_Anomaly,381.2356411217373,396.45589467229127,3.8390786352501913
TE2_MATE,0,S5_WACREN_OOD,740.6388583099639,770.2779459192627,3.847843205990668
TE2_MATE,1,S1_Nominal,373.14575110005353,388.972760108806,4.06892477620419
TE2_MATE,1,S2_FlashCrowd,444.85580042199257,467.0890150334966,4.759952363664473
TE2_MATE,1,S3_PoP_Failure,410.4023150494484,415.4729224223305,1.22044231987946
TE2_MATE,1,S4_BGP_Anomaly,383.1427427445707,401.21585842594106,4.504586571496757
TE2_MATE,1,S5_WACREN_OOD,754.1495077616428,786.3565361505971,4.095728452467045
TE2_MATE,2,S1_Nominal,361.0650868689735,373.04274601291206,3.210800711702889
TE2_MATE,2,S2_FlashCrowd,408.1977891745916,422.8162904907683,3.4574120356642104
TE2_MATE,2,S3_PoP_Failure,398.23338505726826,401.26736782124254,0.7561000488148004
TE2_MATE,2,S4_BGP_Anomaly,367.3705260727785,380.03927037317726,3.3335355811936944
TE2_MATE,2,S5_WACREN_OOD,716.6650718444647,748.458777065698,4.247889956729373
TE2_MATE,3,S1_Nominal,389.18509432081817,406.7818633562169,4.325848967359028
TE2_MATE,3,S2_FlashCrowd,424.4832344698115,441.3355707904563,3.8184858497721614
TE2_MATE,3,S3_PoP_Failure,435.3490734521934,437.2939788237959,0.444759238815445
TE2_MATE,3,S4_BGP_Anomaly,407.4751651933055,424.9549946234314,4.113336624179564
TE2_MATE,3,S5_WACREN_OOD,786.4679571694921,827.9421597822505,5.009311595349384
TE2_MATE,4,S1_Nominal,385.1609265914413,399.8197580947427,3.6663599550845296
TE2_MATE,4,S2_FlashCrowd,423.3900213105765,440.66090538990943,3.919313891494673
TE2_MATE,4,S3_PoP_Failure,430.9358214880912,432.5452272303818,0.3720780258276712
